veh_id,lat,lon,alt,ts
A2044,42.686471,23.323651,564.3,1738074312137
A2044,42.686605,23.323702,564.7,1738074317137
A2044,42.686496,23.323753,564.5,1738074322137
A2044,42.686496,23.323753,561.6,1738074327138
A2044,42.686612,23.324223,561.8,1738074332137
A2044,42.686835,23.325133,564.2,1738074362137
A2044,42.686894,23.325373,565.0,1738074367137
A2044,42.687039,23.32596,563.4,1738074372139
A2044,42.68723,23.32673,562.8,1738074377137
A2044,42.687323,23.327107,561.1,1738074382139
A2044,42.687433,23.327561,560.8,1738074387137
A2044,42.688242,23.329052,558.6,1738074417137
A2044,42.688372,23.329215,555.4,1738074422140
A2044,42.688595,23.329493,555.7,1738074427139
A2044,42.688834,23.329788,555.6,1738074432137
A2044,42.688672,23.329587,552.6,1738074437138
A2044,42.688595,23.329492,552.3,1738074442137
A2044,42.688834,23.329788,552.4,1738074447141
A2044,42.688666,23.32958,552.4,1738074452137
A2044,42.688834,23.329788,553.5,1738074457137
A2044,42.688858,23.329818,554.2,1738074462140
A2044,42.68906,23.330066,556.3,1738074467137
A2044,42.689463,23.330561,556.9,1738074472138
A2044,42.689667,23.330811,557.6,1738074477137
A2044,42.690096,23.331338,559.2,1738074482137
A2044,42.690319,23.331612,557.3,1738074487137
A2044,42.690402,23.331714,556.2,1738074492138
A2044,42.690638,23.332004,552.7,1738074522137
A2044,42.692732,23.334332,555.3,1738074607137
A2044,42.692785,23.334614,556.2,1738074637137
A2044,42.692712,23.334805,556.1,1738074642155
A2044,42.692586,23.334952,553.7,1738074647137
A2044,42.692366,23.335211,553.4,1738074652137
A2044,42.692366,23.335211,552.2,1738074657140
A2044,42.692326,23.335258,549.4,1738074662139
A2044,42.692224,23.335378,548.2,1738074667137
A2044,42.69238020644463,23.335391522932028,548.2,1738074672137
A2044,42.691094,23.336733,546.9,1738074702139
A2044,42.690901,23.336976,546.5,1738074707137
A2044,42.69089,23.336989,544.2,1738074712139
A2044,42.69089,23.336989,544.2,1738074717138
A2044,42.69103,23.336813,544.3,1738074722137
A2044,42.69089,23.336989,544.3,1738074727137
A2044,42.691073,23.336759,544.3,1738074732138
A2044,42.69089,23.336989,544.3,1738074737137
A2044,42.691132,23.336687,544.3,1738074742139
A2044,42.69089,23.336989,544.2,1738074747139
A2044,42.691093,23.336735,544.2,1738074752138
A2044,42.690881,23.337,544.2,1738074757139
A2044,42.691104,23.336721,544.3,1738074762143
A2044,42.690968,23.336892,543.3,1738074767137
A2044,42.690945,23.336921,543.8,1738074772137
A2044,42.690807,23.337092,544.6,1738074777138
A2044,42.69091694484146,23.33720718728929,545.8,1738074782137
A2044,42.690636,23.337067,545.8,1738074787137
A2044,42.690377,23.336621,546.5,1738074792139
A2044,42.69028,23.336126,544.9,1738074797137
A2044,42.69032190219744,23.336637842468463,546.2,1738074802137
A2044,42.69028,23.336126,548.4,1738074807137
A2044,42.69028,23.336126,548.7,1738074812138
A2044,42.69028,23.336126,548.3,1738074817137
A2044,42.688705,23.333982,545.8,1738074847137
A2044,42.688488,23.333639,548.1,1738074852139
A2044,42.687316,23.331824,549.2,1738074882140
A2044,42.687256,23.331728,551.2,1738074887137
A2044,42.687063,23.33142,553.9,1738074892138
A2044,42.687011,23.331336,553.7,1738074897138
A2044,42.686837,23.331059,553.0,1738074902137
A2044,42.686813,23.331021,552.4,1738074907139
A2044,42.686551,23.330576,552.3,1738074912140
A2044,42.686474,23.330382,554.1,1738074917137
A2044,42.685518,23.327468,559.8,1738074972141
A2044,42.685406,23.327121,559.0,1738074977137
A2044,42.685296,23.326785,556.5,1738074982137
A2044,42.685093,23.326164,555.7,1738074987138
A2044,42.684989,23.325842,553.7,1738074992138
A2044,42.684948,23.325715,556.0,1738074997137
A2044,42.684874,23.325488,553.6,1738075002141
A2044,42.68495426999689,23.32545963695259,553.4,1738075007138
A2044,42.684829,23.32535,554.7,1738075012139
A2044,42.684461,23.32422,559.4,1738075042137
A2044,42.683977,23.322732,559.7,1738075072138
A2044,42.68395,23.322649,559.5,1738075077138
A2044,42.683881,23.322437,560.2,1738075082137
A2044,42.683862,23.322379,558.0,1738075087138
A2044,42.68385,23.322342,559.2,1738075092137
A2044,42.665743,23.342549,581.7,1738073432137
A2044,42.666074,23.342262,582.7,1738073437137
A2044,42.666309,23.342034,584.6,1738073467137
A2044,42.666532,23.341757,583.8,1738073472138
A2044,42.666705,23.34129,583.6,1738073477138
A2044,42.66671,23.340252,584.8,1738073482137
A2044,42.668465,23.337695,590.4,1738073552138
A2044,42.66904,23.337748,592.7,1738073557138
A2044,42.669409,23.337782,592.7,1738073562138
A2044,42.669547,23.337794,596.3,1738073567137
A2044,42.670079,23.337842,598.0,1738073572138
A2044,42.670276,23.337851,596.5,1738073577140
A2044,42.670876,23.33765,600.9,1738073582139
A2044,42.67129,23.33729,599.3,1738073587138
A2044,42.671614,23.336993,602.0,1738073592137
A2044,42.671567,23.337035,602.9,1738073597139
A2044,42.671914,23.336716,603.5,1738073602137
A2044,42.671931,23.336701,603.0,1738073607140
A2044,42.671931,23.336701,601.7,1738073612137
A2044,42.672047,23.336592,601.5,1738073617138
A2044,42.671931,23.336701,601.7,1738073622139
A2044,42.671931,23.336701,601.8,1738073627137
A2044,42.671931,23.336701,601.8,1738073632137
A2044,42.671931,23.336701,601.8,1738073637138
A2044,42.67204406868933,23.336539464261183,601.8,1738073642137
A2044,42.671905,23.336725,601.8,1738073647137
A2044,42.671718,23.336897,601.9,1738073652137
A2044,42.671814,23.336809,601.8,1738073657137
A2044,42.67173734810079,23.33669917464045,601.8,1738073662137
A2044,42.672066,23.336574,601.8,1738073667137
A2044,42.672209,23.336439,601.4,1738073697140
A2044,42.672522,23.336158,602.3,1738073702137
A2044,42.672769,23.335946,603.6,1738073707138
A2044,42.67322,23.33552,605.4,1738073712137
A2044,42.67349,23.335263,606.7,1738073717137
A2044,42.673951,23.334824,608.7,1738073722137
A2044,42.674398,23.3344,610.4,1738073727137
A2044,42.674749,23.334169,610.4,1738073732137
A2044,42.676009,23.334034,605.8,1738073762138
A2044,42.676312,23.333853,605.4,1738073767137
A2044,42.676051312631024,23.33392146887963,603.7,1738073772137
A2044,42.676263,23.333676,603.5,1738073802137
A2044,42.67601612973452,23.33410216148834,603.5,1738073807137
A2044,42.676349,23.333808,604.6,1738073812137
A2044,42.676732,23.333271,598.1,1738073842137
A2044,42.676532,23.333619,598.1,1738073847137
A2044,42.676637,23.333518,599.7,1738073852137
A2044,42.67673,23.333276,599.8,1738073857138
A2044,42.677602,23.330679,591.2,1738073887137
A2044,42.67777,23.33017,590.4,1738073892139
A2044,42.677804,23.330056,586.8,1738073897138
A2044,42.677939,23.329424,582.9,1738073902137
A2044,42.677996,23.328975,579.9,1738073907138
A2044,42.678028,23.328602,578.4,1738073912137
A2044,42.678044,23.328341,578.2,1738073917138
A2044,42.67786258973139,23.32831260064819,576.8,1738073922138
A2044,42.678073,23.327878,577.7,1738073927137
A2044,42.678106,23.327344,576.5,1738073932137
A2044,42.67824733827333,23.327504320868307,577.9,1738073937139
A2044,42.678043,23.327156,576.4,1738073942138
A2044,42.678106,23.327347,575.6,1738073947137
A2044,42.67833812974716,23.32720592848739,575.7,1738073952140
A2044,42.678137,23.3266,574.5,1738073957138
A2044,42.678153,23.326173,573.3,1738073962137
A2044,42.678292,23.322871,570.3,1738073992138
A2044,42.678379,23.322358,569.4,1738073997137
A2044,42.678391,23.322292,570.5,1738074002137
A2044,42.678424,23.32212,572.6,1738074007137
A2044,42.67847,23.321778,570.6,1738074012137
A2044,42.678369,23.32241,568.5,1738074017137
A2044,42.678313,23.322697,568.5,1738074022137
A2044,42.681004,23.321352,566.2,1738074112137
A2044,42.681536,23.321242,564.1,1738074117139
A2044,42.681741,23.3212,562.4,1738074122137
A2044,42.682282,23.32107,561.3,1738074127137
A2044,42.682366,23.321042,561.0,1738074132138
A2044,42.682366,23.321042,561.9,1738074137137
A2044,42.682366,23.321042,563.8,1738074142137
A2044,42.682366,23.321042,562.8,1738074147138
A2044,42.682366,23.321042,562.3,1738074152137
A2044,42.682366,23.321042,562.2,1738074157137
A2044,42.682366,23.321042,562.2,1738074162137
A2044,42.682684,23.320944,561.9,1738074192137
A2044,42.68274925844156,23.320913673962444,561.9,1738074197138
A2044,42.682743,23.320926,561.8,1738074202137
A2044,42.682743,23.320926,561.3,1738074207137
A2044,42.682743,23.320926,557.7,1738074212137
A2044,42.683082,23.320838,559.2,1738074217138
A2044,42.683767,23.320837,559.9,1738074222139
A2044,42.684277,23.320941,561.3,1738074227137
A2044,42.684523,23.320991,561.3,1738074232137
A2044,42.684823,23.321052,561.7,1738074237137
A2044,42.684977,23.321084,562.4,1738074242138
A2044,42.685271,23.321144,561.7,1738074247137
A2044,42.685526,23.321188,564.1,1738074277137
A2044,42.68593,23.321697,564.2,1738074282138
A2044,42.686001,23.322006,563.2,1738074287137
A2044,42.686046,23.322197,568.2,1738074292137
A2044,42.686137,23.322571,567.9,1738074297137
A2044,42.686181,23.322706,566.3,1738074302138
A2044,42.686424,23.323463,564.9,1738074307137
A2044,42.686471,23.323651,564.3,1738074312137
A2044,42.686526,23.323874,564.7,1738074317137
A2044,42.68657,23.324054,564.5,1738074322137
A2044,42.686641,23.324344,561.6,1738074327138
A2044,42.686612,23.324223,561.8,1738074332137
A2044,42.686835,23.325133,564.2,1738074362137
A2044,42.686894,23.325373,565.0,1738074367137
A2044,42.687039,23.32596,563.4,1738074372139
A2044,42.68723,23.32673,562.8,1738074377137
A2044,42.687323,23.327107,561.1,1738074382139
A2044,42.687433,23.327561,560.8,1738074387137
A2044,42.688242,23.329052,558.6,1738074417137
A2044,42.688372,23.329215,555.4,1738074422140
A2044,42.688595,23.329493,555.7,1738074427139
A2044,42.688834,23.329788,555.6,1738074432137
A2044,42.688672,23.329587,552.6,1738074437138
A2044,42.688834,23.329788,552.3,1738074442137
A2044,42.688616,23.329519,552.4,1738074447141
A2044,42.688834,23.329788,552.4,1738074452137
A2044,42.688593,23.32949,553.5,1738074457137
A2044,42.688858,23.329818,554.2,1738074462140
A2044,42.68906,23.330066,556.3,1738074467137
A2044,42.689463,23.330561,556.9,1738074472138
A2044,42.689667,23.330811,557.6,1738074477137
A2044,42.690096,23.331338,559.2,1738074482137
A2044,42.690319,23.331612,557.3,1738074487137
A2044,42.690402,23.331714,556.2,1738074492138
A2044,42.690638,23.332004,552.7,1738074522137
A2044,42.692732,23.334332,555.3,1738074607137
A2044,42.692785,23.334614,556.2,1738074637137
A2044,42.692712,23.334805,556.1,1738074642155
A2044,42.692586,23.334952,553.7,1738074647137
A2044,42.69224,23.335359,553.4,1738074652137
A2044,42.692117,23.335504,552.2,1738074657140
A2044,42.692366,23.335211,549.4,1738074662139
A2044,42.692224,23.335378,548.2,1738074667137
A2044,42.69238020644463,23.335391522932028,548.2,1738074672137
A2044,42.691094,23.336733,546.9,1738074702139
A2044,42.690901,23.336976,546.5,1738074707137
A2044,42.69089,23.336989,544.2,1738074712139
A2044,42.69089,23.336989,544.2,1738074717138
A2044,42.69089,23.336989,544.3,1738074722137
A2044,42.69089,23.336989,544.3,1738074727137
A2044,42.691073,23.336759,544.3,1738074732138
A2044,42.69089,23.336989,544.3,1738074737137
A2044,42.691132,23.336687,544.3,1738074742139
A2044,42.69089,23.336989,544.2,1738074747139
A2044,42.691093,23.336735,544.2,1738074752138
A2044,42.690881,23.337,544.2,1738074757139
